Show ID,Title,My Score,MAL Score,Score Diff,MAL Count,Coefficient,Weighted Score Diff,Under or Over,Status,Studio,Season,Year,Source,Director,Eps Count,Date Finished,Cry Status,Review Summary,Thematic Takeaway,Character Comments,Story Comments,Setting Comments,Animation Comments,Music Comments,Extra Content,Miscellaneous Comments,,,
55,Your Lie in April,10.5,8.71,1.79,"951,539",43.86%,1.35,Normal,Completed,A-1 Pictures,Fall,2014,Manga,Kyouhei Ishiguro,22,29/07/2020,Rolling Tears,Perfection,,,,,,,,,,,
119,Steins;Gate,10.5,8.97,1.53,"1,028,116",47.39%,1.06,Normal,Completed,White Fox,Spring,2011,Visual Novel,Hiroshi Hamasaki,25,25/05/2021,Rolling Tears,Time travel with nuance and touch,*in Themes 4,There are all fantastic. There isn't a dull char. They all go through stuff as they weave in and out of the plot. Everything they go through is palpable and real,"Holy shit. It's good. Other than a few plot holes, which are covered in the VN, this story, while not overly complex, hits me in the gut constantly",I love it. There's something about the lab and the streets that feel different. I recognize places and feel its pull,"Given the time it was made, nothing short of spectacular",Op and Ed were good. OST was fitting,Steins;Gate 0,"After clearing up the plot holes, this show has become my favorite of all time. It makes me feel things that other shows fail to do. It puts Re: Zero to shame with its nuanced char work, intricate story, and perfect intermingling of the two. It truly is a show of the ages, and it deserves the respect of all. It doesn't hold your hand, but it's not overly complex. It's a show that hits on drama, comedy, tension, and everything. I don't see a flaw. There's nothing not to like. It truly is the perfect show",,,
125,Girls’ Last Tour,10.5,8.19,2.31,"88,366",4.07%,2.27,Underrated,Completed,White Fox,Fall,2017,Web Manga,Takaharu Ozaki,12,16/12/2020,Rolling Tears,A thematic beauty of apocalyptic levels,*in Themes 1,"The main characters had beautiful chemistry, and it makes the story's ending that much more beautiful when you realize how much they care for each other","While laidback, it never fails to provide the atmosphere of dread and worry that entice me and have me worried about everything","Beautiful, apocalyptic setting that accentuates the themes presented","Other than the weak CGI in later episodes, it felt authentic & nice","Stunning op, ed, and OST",2 volumes of the manga aren't covered,,,,
323,Words Bubble Up Like Soda Pop,10,7.53,2.47,"40,840",1.88%,2.45,Underrated,Completed,Signal.MD,Summer,2021,Original,Kyouhei Ishiguro,1,28/08/2021,Rolling Tears,"Simple, artistic, expressive",The expression of words tears down boundaries and builds up love. They shouldn't be restricted,"They're all so lovable. Every single one has their quirks that don't stay long enough to get annoying, and our MCs are so complex yet so simple, I love it","There's nothing unique about it, yet it's a beautiful story that is well-told and interwoven with its chars and purpose that I can't help myself",There's something about this town that feels fleshed out. I get a sense merely from the mall and the color,Beautiful. It's so colorful & so vivid while maintaing a cartoonish innocence,the OST is so FREAKING good. Not a bad song,,"I wanted a good movie, and I got a great one. The chars are endearing. The story is sweet and connectible no matter who you are. The themes are impactful and fleshed out. The animation, setting, and music blend together perfectly to make one of the most touching stories I've seen in a long time. It's truly a movie that rivals A Silent Voice in pure quality and storytelling ability. It does everything it wants to while also reminding me just how much it means to express yourself to others in every way possible",,,
38,Somali and the Forest Spirit,10,7.82,2.18,"78,721",3.63%,2.14,Underrated,Completed,Satelight,Winter,2020,Web Manga,Kenji Yasuda,12,06/06/2020,Rolling Tears,Touching from start to finish,What it means to be human,,,,,,,,,,
27,Made in Abyss,10,8.72,1.28,"493,457",22.75%,1.05,Normal,In Progress,Kinema Citrus,Summer,2017,Web Manga,Masayuki Kojima,13,04/12/2020,Rolling Tears,Whimsically wrenching,*in Themes 1,,,,,,movie - 2020,,,,
108,Kokoro Connect,10,7.86,2.14,"340,149",15.68%,1.98,Underrated,Completed,SILVER LINK,Summer,2012,Light Novel,Shin Oonuma,17,20/03/2021,Sniffling Mess,Characters done like none others,*in Themes 2,"An absolute masterclass. Chars were relatable, realistic, motivated, unique, and conflicted well with each other and the scenarios that they faced","The mystery of Heartseed is overshadowed by the ways that the group interacts with the phenomenon, making for a nonintrusive story",Not much to talk about here,Pretty good for the time,A lot of bangers in the OP and ED. OST is aight,,"Even when I think the characters are repeating themselves or have suddenly gotten over their issues, they act more human and either double down on their fears, a relapse of sorts, or another human truth is revealed. The show knows what chars are doing what at every time, taking note of every char as they weave in and out of the narrative. It makes for a satisfying drama even if it might, at first, seem extremely melow-dramatic. Overall, a beauitful and realistic commentary on social life with a supernatural twist",,,
109,Hinamatsuri,10,8.19,1.81,"184,388",8.50%,1.73,Normal,Completed,feel.,Spring,2018,Manga,Kei Oikawa,12,03/04/2021,Rolling Tears,Wholesome comedy done to perfection,*in Themes 3,"All of them are great. They all hit. Even side characters with 5 minutes are fun and add to the entourage of memorable, loveable chars. Nothing wrong here","Every story was great. Even when I thought I missed Hina and Nitta, I found myself endeared by cute plot lines and ridiculous greatness",The locations that did get highlighted felt unique and homely.,Spectacular. It was fluid and lively. Expressions hit diff,Nothing great,,"This truly is the best comedy I've seen. Combined with wholesome moments and lowkey char development, the show delivers on making me burst out laughing with its ridiculous plot lines and twists. It answers every question I might have over time, allowing for fluid continuity. It tells a unique story that doesn't get too mushy-gushy as it stays true to its chars and ends up being a product that I could rewatch at any time. Truly one of the best comedies I've ever seen in all areas.",,,
193,Baccano!,10,8.33,1.67,"334,072",15.40%,1.52,Normal,Completed,Brain's Base,Summer,2007,Light Novel,Takahiro Oomori,16,27/12/2021,Tingly Nose,"The perf time-jump, multi-layered plot",*in Themes 7,"Not a single miss. Although not every char has an arc, the one's that do have very satsifying arcs. Everyone else is a joy to see on screen. No char got too old for me",Some of the most god tier shit I've ever seen. It didn't have any plotholes other than maybe the inconsistent speed times of immortal recovery,"Although not too much of a focus, it did get that mafia time down pat. Also, the magic system was well done","Even though I watched a low-def version, it stuck out as being amazing",Jazzy,,"The specials tied up all loose ends I needed tied up. This story did the impossible in having me engrossed without ever thinking, ""Wtf, that's stupid."" All chars were interesting to watch. They were their own unique individuals that never seemed to stop moving as the plot formed from the interactions of tens of chars. It made for a story that had a beautiful theme about storytelling and human interaction. I've never seen a show that mixed complicated chars and plot while still being relatively easy to follow",,,
189,A Silent Voice,10,8.98,1.02,"1,053,535",48.56%,0.53,Normal,Completed,Kyoto Animation,Summer,2016,Manga,Naoko Yamada,1,20/02/2021,Sniffling Mess,"The world is complex, contradictary, and beautiful",Wanting to change should never be denied. We can't truly live until we listen to the beauty around us,"I recognize that the film had a lot to fit in, and I think it managed to do so perfectly. Every relevant character was shown to be so, and they interacted realistically",Stunningly realistic. The back and forth of guilt and sorrow was captivating. You truly feel for these chars at their lowest through the events,"Amazingly realistic. I felt a part of the city, the town, and everything. I knew it meant something",The best I've ever seen,One of the best OST's ever,,"This show was a lot, and it earned every emotion. I felt their pain. I empathized with everyone. I felt like I knew these characters. I reflected on myself. This movie meant everything to me. It's okay to want to change. Look people in the eyes and learn to know the world and all its beauty. Don't cower away because behind every struggle is someone else who understands you and wants you to be okay. It's the most human film I've ever seen, and I'm eternally grateful that it exists",,,
